ALG	Fn	DES	C	Mu
fc_2	GO.0098693	regulation_of_synaptic_vesicle_cycle	14	2
fc_2	GO.0099003	vesicle-mediated_transport_in_synapse	14	3
fc_2	GO.0099504	synaptic_vesicle_cycle	14	3
fc_2	GO.0099531	presynaptic_process_involved_in_chemical...	14	4
fc_2	GO.0099536	synaptic_signaling	14	4
fc_2	GO.0099537	trans-synaptic_signaling	14	4
fc_2	GO.0099643	signal_release_from_synapse	14	4
fc_2	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	14	2
fc_2	GO.0002224	toll-like_receptor_signaling_pathway	15	2
fc_2	GO.0007212	dopamine_receptor_signaling_pathway	15	2
fc_2	GO.0007268	chemical_synaptic_transmission	15	8
fc_2	GO.0010611	regulation_of_cardiac_muscle_hypertrophy	15	3
fc_2	GO.0019722	calcium-mediated_signaling	15	6
fc_2	GO.0031929	TOR_signaling	15	3
fc_2	GO.0042552	myelination	15	3
fc_2	GO.0046058	cAMP_metabolic_process	15	2
fc_2	GO.0055074	calcium_ion_homeostasis	15	7
fc_2	GO.0086065	cell_communication_involved_in_cardiac_c...	15	2
fc_2	GO.0099536	synaptic_signaling	15	8
fc_2	GO.0099537	trans-synaptic_signaling	15	8
fc_2	GO.0099565	chemical_synaptic_transmission,_postsyna...	15	3
fc_2	GO.0051403	stress-activated_MAPK_cascade	18	2
fc_2	GO.0050853	B_cell_receptor_signaling_pathway	19	1
fc_2	GO.0000165	MAPK_cascade	20	8
fc_2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	20	2
fc_2	GO.0002757	immune_response-activating_signal_transd...	20	3
fc_2	GO.0050853	B_cell_receptor_signaling_pathway	20	1
fc_2	GO.0051403	stress-activated_MAPK_cascade	20	5
fc_2	GO.0000165	MAPK_cascade	22	3
fc_2	GO.0051403	stress-activated_MAPK_cascade	22	2
fc_2	GO.0001504	neurotransmitter_uptake	24	2
fc_2	GO.0007268	chemical_synaptic_transmission	24	12
fc_2	GO.0007269	neurotransmitter_secretion	24	4
fc_2	GO.0008088	axo-dendritic_transport	24	2
fc_2	GO.0042417	dopamine_metabolic_process	24	2
fc_2	GO.0042552	myelination	24	3
fc_2	GO.0043491	protein_kinase_B_signaling	24	5
fc_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	24	7
fc_2	GO.0050808	synapse_organization	24	4
fc_2	GO.0051963	regulation_of_synapse_assembly	24	2
fc_2	GO.0098930	axonal_transport	24	2
fc_2	GO.0099531	presynaptic_process_involved_in_chemical...	24	5
fc_2	GO.0099536	synaptic_signaling	24	12
fc_2	GO.0099537	trans-synaptic_signaling	24	12
fc_2	GO.0099643	signal_release_from_synapse	24	4
fc_2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	25	3
fc_2	GO.0007212	dopamine_receptor_signaling_pathway	25	5
fc_2	GO.0007223	Wnt_signaling_pathway,_calcium_modulatin...	25	2
fc_2	GO.0019933	cAMP-mediated_signaling	25	4
fc_2	GO.0000165	MAPK_cascade	26	7
fc_2	GO.0002218	activation_of_innate_immune_response	26	5
fc_2	GO.0002757	immune_response-activating_signal_transd...	26	5
fc_2	GO.0002758	innate_immune_response-activating_signal...	26	5
fc_2	GO.0050852	T_cell_receptor_signaling_pathway	26	5
fc_2	GO.0000165	MAPK_cascade	27	7
fc_2	GO.0002218	activation_of_innate_immune_response	27	4
fc_2	GO.0002224	toll-like_receptor_signaling_pathway	27	2
fc_2	GO.0002758	innate_immune_response-activating_signal...	27	4
fc_2	GO.0051403	stress-activated_MAPK_cascade	27	4
fc_2	GO.0002218	activation_of_innate_immune_response	29	2
fc_2	GO.0002757	immune_response-activating_signal_transd...	29	2
fc_2	GO.0002758	innate_immune_response-activating_signal...	29	2
fc_2	GO.0050852	T_cell_receptor_signaling_pathway	29	2
fc_2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	32	2
fc_2	GO.0002757	immune_response-activating_signal_transd...	32	2
fc_2	GO.0099054	presynapse_assembly	36	1
fc_2	GO.0007411	axon_guidance	39	3
fc_2	GO.0032288	myelin_assembly	40	1
fc_2	GO.0001504	neurotransmitter_uptake	42	2
fc_2	GO.0007411	axon_guidance	42	3
fc_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	42	4
fc_2	GO.0060078	regulation_of_postsynaptic_membrane_pote...	42	2
fc_2	GO.0099565	chemical_synaptic_transmission,_postsyna...	42	2
fc_2	GO.0048488	synaptic_vesicle_endocytosis	43	2
fc_2	GO.0000165	MAPK_cascade	45	7
fc_2	GO.0000165	MAPK_cascade	46	8
fc_2	GO.0002218	activation_of_innate_immune_response	46	8
fc_2	GO.0002757	immune_response-activating_signal_transd...	46	8
fc_2	GO.0002758	innate_immune_response-activating_signal...	46	8
fc_2	GO.0050852	T_cell_receptor_signaling_pathway	46	8
fc_2	GO.0000165	MAPK_cascade	47	11
fc_2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	47	5
fc_2	GO.0007268	chemical_synaptic_transmission	47	15
fc_2	GO.0007411	axon_guidance	47	6
fc_2	GO.0007416	synapse_assembly	47	4
fc_2	GO.0019722	calcium-mediated_signaling	47	4
fc_2	GO.0032288	myelin_assembly	47	3
fc_2	GO.0035235	ionotropic_glutamate_receptor_signaling_...	47	3
fc_2	GO.0042417	dopamine_metabolic_process	47	2
fc_2	GO.0042552	myelination	47	4
fc_2	GO.0043491	protein_kinase_B_signaling	47	3
fc_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	47	7
fc_2	GO.0050807	regulation_of_synapse_organization	47	3
fc_2	GO.0050808	synapse_organization	47	6
fc_2	GO.0051963	regulation_of_synapse_assembly	47	2
fc_2	GO.0055074	calcium_ion_homeostasis	47	5
fc_2	GO.0060078	regulation_of_postsynaptic_membrane_pote...	47	5
fc_2	GO.0099536	synaptic_signaling	47	15
fc_2	GO.0099537	trans-synaptic_signaling	47	15
fc_2	GO.0099565	chemical_synaptic_transmission,_postsyna...	47	5
fc_2	GO.0099601	regulation_of_neurotransmitter_receptor_...	47	2
fc_2	GO.0000165	MAPK_cascade	49	3
fc_2	GO.0002757	immune_response-activating_signal_transd...	49	2
fc_2	GO.0050853	B_cell_receptor_signaling_pathway	49	1
lourvain_2	GO.0046058	cAMP_metabolic_process	2	3
lourvain_2	GO.0000165	MAPK_cascade	4	24
lourvain_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	4	11
lourvain_2	GO.0051403	stress-activated_MAPK_cascade	4	10
lourvain_2	GO.0055074	calcium_ion_homeostasis	4	10
lourvain_2	GO.0000165	MAPK_cascade	5	9
lourvain_2	GO.0002218	activation_of_innate_immune_response	5	4
lourvain_2	GO.0002224	toll-like_receptor_signaling_pathway	5	2
lourvain_2	GO.0002758	innate_immune_response-activating_signal...	5	4
lourvain_2	GO.0051403	stress-activated_MAPK_cascade	5	5
lourvain_2	GO.0042552	myelination	6	4
lourvain_2	GO.0043491	protein_kinase_B_signaling	6	5
lourvain_2	GO.0000165	MAPK_cascade	7	12
lourvain_2	GO.0002218	activation_of_innate_immune_response	7	9
lourvain_2	GO.0002757	immune_response-activating_signal_transd...	7	10
lourvain_2	GO.0002758	innate_immune_response-activating_signal...	7	9
lourvain_2	GO.0007212	dopamine_receptor_signaling_pathway	7	4
lourvain_2	GO.0050852	T_cell_receptor_signaling_pathway	7	9
lourvain_2	GO.0031929	TOR_signaling	8	2
lourvain_2	GO.0000165	MAPK_cascade	10	9
lourvain_2	GO.0002218	activation_of_innate_immune_response	10	8
lourvain_2	GO.0002757	immune_response-activating_signal_transd...	10	8
lourvain_2	GO.0002758	innate_immune_response-activating_signal...	10	8
lourvain_2	GO.0050852	T_cell_receptor_signaling_pathway	10	8
lourvain_2	GO.0086065	cell_communication_involved_in_cardiac_c...	10	2
lourvain_2	GO.0048488	synaptic_vesicle_endocytosis	12	7
lourvain_2	GO.0099003	vesicle-mediated_transport_in_synapse	12	8
lourvain_2	GO.0099504	synaptic_vesicle_cycle	12	7
lourvain_2	GO.0000165	MAPK_cascade	15	13
lourvain_2	GO.0007411	axon_guidance	15	8
lourvain_2	GO.0051591	response_to_cAMP	15	3
lourvain_2	GO.0001504	neurotransmitter_uptake	16	3
lourvain_2	GO.0007268	chemical_synaptic_transmission	16	17
lourvain_2	GO.0007269	neurotransmitter_secretion	16	12
lourvain_2	GO.0016079	synaptic_vesicle_exocytosis	16	11
lourvain_2	GO.0016082	synaptic_vesicle_priming	16	6
lourvain_2	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	16	5
lourvain_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	16	10
lourvain_2	GO.0060078	regulation_of_postsynaptic_membrane_pote...	16	3
lourvain_2	GO.0098693	regulation_of_synaptic_vesicle_cycle	16	3
lourvain_2	GO.0098877	neurotransmitter_receptor_transport_to_p...	16	3
lourvain_2	GO.0099003	vesicle-mediated_transport_in_synapse	16	12
lourvain_2	GO.0099072	regulation_of_postsynaptic_membrane_neur...	16	3
lourvain_2	GO.0099504	synaptic_vesicle_cycle	16	11
lourvain_2	GO.0099531	presynaptic_process_involved_in_chemical...	16	12
lourvain_2	GO.0099536	synaptic_signaling	16	17
lourvain_2	GO.0099537	trans-synaptic_signaling	16	17
lourvain_2	GO.0099565	chemical_synaptic_transmission,_postsyna...	16	3
lourvain_2	GO.0099637	neurotransmitter_receptor_transport	16	3
lourvain_2	GO.0099643	signal_release_from_synapse	16	12
lourvain_2	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	16	3
lourvain_2	GO.0000165	MAPK_cascade	19	4
lourvain_2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	19	2
lourvain_2	GO.0002757	immune_response-activating_signal_transd...	19	3
lourvain_2	GO.0007411	axon_guidance	19	2
lourvain_2	GO.0043491	protein_kinase_B_signaling	19	2
lourvain_2	GO.0050853	B_cell_receptor_signaling_pathway	19	1
lourvain_2	GO.0000165	MAPK_cascade	20	6
lourvain_2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	20	5
lourvain_2	GO.0002757	immune_response-activating_signal_transd...	20	5
lourvain_2	GO.0007411	axon_guidance	20	4
lourvain_2	GO.0007416	synapse_assembly	20	2
lourvain_2	GO.0050807	regulation_of_synapse_organization	20	2
lourvain_2	GO.0051963	regulation_of_synapse_assembly	20	2
lourvain_2	GO.0007268	chemical_synaptic_transmission	21	11
lourvain_2	GO.0007416	synapse_assembly	21	2
lourvain_2	GO.0035235	ionotropic_glutamate_receptor_signaling_...	21	2
lourvain_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	21	5
lourvain_2	GO.0050808	synapse_organization	21	4
lourvain_2	GO.0060078	regulation_of_postsynaptic_membrane_pote...	21	4
lourvain_2	GO.0099536	synaptic_signaling	21	11
lourvain_2	GO.0099537	trans-synaptic_signaling	21	11
lourvain_2	GO.0099565	chemical_synaptic_transmission,_postsyna...	21	4
lourvain_2	GO.0099601	regulation_of_neurotransmitter_receptor_...	21	2
lourvain_2	GO.0007269	neurotransmitter_secretion	24	2
lourvain_2	GO.0016079	synaptic_vesicle_exocytosis	24	2
lourvain_2	GO.0048791	calcium_ion-regulated_exocytosis_of_neur...	24	1
lourvain_2	GO.0055074	calcium_ion_homeostasis	24	3
lourvain_2	GO.0060563	neuroepithelial_cell_differentiation	24	1
lourvain_2	GO.0099003	vesicle-mediated_transport_in_synapse	24	2
lourvain_2	GO.0099504	synaptic_vesicle_cycle	24	2
lourvain_2	GO.0099531	presynaptic_process_involved_in_chemical...	24	2
lourvain_2	GO.0099643	signal_release_from_synapse	24	2
lourvain_2	GO.0019722	calcium-mediated_signaling	25	5
lourvain_2	GO.0055074	calcium_ion_homeostasis	25	4
lourvain_2	GO.0086065	cell_communication_involved_in_cardiac_c...	25	2
sgG1_2	GO.0016079	synaptic_vesicle_exocytosis	2	3
sgG1_2	GO.0048488	synaptic_vesicle_endocytosis	2	6
sgG1_2	GO.0098693	regulation_of_synaptic_vesicle_cycle	2	3
sgG1_2	GO.0099003	vesicle-mediated_transport_in_synapse	2	7
sgG1_2	GO.0099504	synaptic_vesicle_cycle	2	6
sgG1_2	GO.0002218	activation_of_innate_immune_response	3	5
sgG1_2	GO.0002757	immune_response-activating_signal_transd...	3	5
sgG1_2	GO.0002758	innate_immune_response-activating_signal...	3	5
sgG1_2	GO.0050852	T_cell_receptor_signaling_pathway	3	4
sgG1_2	GO.0070528	protein_kinase_C_signaling	3	1
sgG1_2	GO.0046058	cAMP_metabolic_process	4	1
sgG1_2	GO.0051591	response_to_cAMP	4	1
sgG1_2	GO.0002218	activation_of_innate_immune_response	8	10
sgG1_2	GO.0002757	immune_response-activating_signal_transd...	8	10
sgG1_2	GO.0002758	innate_immune_response-activating_signal...	8	10
sgG1_2	GO.0050852	T_cell_receptor_signaling_pathway	8	10
sgG1_2	GO.0046058	cAMP_metabolic_process	9	2
sgG1_2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	11	12
sgG1_2	GO.0002757	immune_response-activating_signal_transd...	11	14
sgG1_2	GO.0007268	chemical_synaptic_transmission	11	23
sgG1_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	11	12
sgG1_2	GO.0099536	synaptic_signaling	11	23
sgG1_2	GO.0099537	trans-synaptic_signaling	11	23
sgG1_2	GO.0050808	synapse_organization	12	2
sgG1_2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	13	2
sgG1_2	GO.0002757	immune_response-activating_signal_transd...	13	2
sgG1_2	GO.0099054	presynapse_assembly	15	1
sgG1_2	GO.0001504	neurotransmitter_uptake	16	3
sgG1_2	GO.0007268	chemical_synaptic_transmission	16	15
sgG1_2	GO.0007269	neurotransmitter_secretion	16	10
sgG1_2	GO.0016079	synaptic_vesicle_exocytosis	16	10
sgG1_2	GO.0016082	synaptic_vesicle_priming	16	6
sgG1_2	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	16	5
sgG1_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	16	9
sgG1_2	GO.0098877	neurotransmitter_receptor_transport_to_p...	16	3
sgG1_2	GO.0099003	vesicle-mediated_transport_in_synapse	16	10
sgG1_2	GO.0099072	regulation_of_postsynaptic_membrane_neur...	16	3
sgG1_2	GO.0099504	synaptic_vesicle_cycle	16	10
sgG1_2	GO.0099531	presynaptic_process_involved_in_chemical...	16	10
sgG1_2	GO.0099536	synaptic_signaling	16	15
sgG1_2	GO.0099537	trans-synaptic_signaling	16	15
sgG1_2	GO.0099637	neurotransmitter_receptor_transport	16	3
sgG1_2	GO.0099643	signal_release_from_synapse	16	10
sgG1_2	GO.0010737	protein_kinase_A_signaling	20	2
sgG1_2	GO.0060563	neuroepithelial_cell_differentiation	20	1
sgG1_2	GO.0007411	axon_guidance	22	6
sgG1_2	GO.0009755	hormone-mediated_signaling_pathway	29	2
sgG1_2	GO.0000165	MAPK_cascade	31	13
sgG1_2	GO.0051403	stress-activated_MAPK_cascade	31	6
sgG1_2	GO.0009755	hormone-mediated_signaling_pathway	33	2
sgG1_2	GO.0008088	axo-dendritic_transport	34	2
sgG1_2	GO.0098930	axonal_transport	34	2
sgG1_2	GO.0000165	MAPK_cascade	35	6
sgG1_2	GO.0007411	axon_guidance	35	3
sgG1_2	GO.0043491	protein_kinase_B_signaling	35	3
sgG1_2	GO.0050804	modulation_of_chemical_synaptic_transmis...	35	4
sgG1_2	GO.0051403	stress-activated_MAPK_cascade	35	3
sgG1_2	GO.0051591	response_to_cAMP	35	2
sgG1_2	GO.0000165	MAPK_cascade	36	6
sgG1_2	GO.0050807	regulation_of_synapse_organization	36	2
sgG1_2	GO.0046058	cAMP_metabolic_process	37	1
sgG1_2	GO.0007212	dopamine_receptor_signaling_pathway	39	2
sgG1_2	GO.0007268	chemical_synaptic_transmission	39	6
sgG1_2	GO.0010611	regulation_of_cardiac_muscle_hypertrophy	39	3
sgG1_2	GO.0019722	calcium-mediated_signaling	39	2
sgG1_2	GO.0031929	TOR_signaling	39	3
sgG1_2	GO.0042552	myelination	39	2
sgG1_2	GO.0043491	protein_kinase_B_signaling	39	2
sgG1_2	GO.0046058	cAMP_metabolic_process	39	2
sgG1_2	GO.0050853	B_cell_receptor_signaling_pathway	39	1
sgG1_2	GO.0055074	calcium_ion_homeostasis	39	3
sgG1_2	GO.0099536	synaptic_signaling	39	6
sgG1_2	GO.0099537	trans-synaptic_signaling	39	6
sgG1_2	GO.0099565	chemical_synaptic_transmission,_postsyna...	39	3
sgG1_2	GO.0000165	MAPK_cascade	40	3
sgG1_2	GO.0002218	activation_of_innate_immune_response	40	3
sgG1_2	GO.0002757	immune_response-activating_signal_transd...	40	3
sgG1_2	GO.0002758	innate_immune_response-activating_signal...	40	3
sgG1_2	GO.0050852	T_cell_receptor_signaling_pathway	40	3
sgG1_2	GO.0007212	dopamine_receptor_signaling_pathway	42	4
sgG1_2	GO.0007223	Wnt_signaling_pathway,_calcium_modulatin...	42	2
sgG1_2	GO.0019933	cAMP-mediated_signaling	42	3
sgG1_2	GO.0046058	cAMP_metabolic_process	42	2
sgG1_2	GO.0002218	activation_of_innate_immune_response	43	2
sgG1_2	GO.0002757	immune_response-activating_signal_transd...	43	3
sgG1_2	GO.0002758	innate_immune_response-activating_signal...	43	2
sgG1_2	GO.0019722	calcium-mediated_signaling	43	4
sgG1_2	GO.0050852	T_cell_receptor_signaling_pathway	43	2
sgG1_2	GO.0055074	calcium_ion_homeostasis	43	4
sgG1_2	GO.0086065	cell_communication_involved_in_cardiac_c...	43	2
