IDS	rat.gene.name	rat.entrez.ID	rat.uniprot	mouse.gene.name	mouse.entrez.ID	mouse.uniprot	human.gene.name	human.entez.ID	human.uniprot	% Cov	Peptide (95%)
Q7Z3D6	RGD1311756	362769	D4A9W3	9030617O03Rik	217830	Q8BH86	C14orf159	80017	Q7Z3D6	21.6	11
Q96QK1	Vps35	25479	G3V8A5	Vps35	65114	Q9EQH3	VPS35	55737	Q96QK1	23	13
O75116	Rock2	25537	Q62868	Rock2	19878	P70336	ROCK2	9475	O75116	23.9	13
P06241	Fyn	25150	Q62844	Fyn	14360	P39688	FYN	2534	P06241	24.6	11
Q14195	Dpysl3	25418	Q62952	Dpysl3	22240	Q62188	DPYSL3	1809	Q14195	41.4	21
Q99719	Sept5	116728	Q9JJM9	Sept5	18951	Q9Z2Q6	SEPT5	5413	Q99719	39.6	14
Q13554	Camk2b	24245	P08413	Camk2b	12323	P28652	CAMK2B	816	Q13554	34.1	24
P31146	Coro1a	155151	Q91ZN1	Coro1a	12721	O89053	CORO1A	11151	P31146	30.8	11
P50213	Idh3a	114096	Q99NA5	Idh3a	67834	Q9D6R2	IDH3A	3419	P50213	38.5	15
Q16658	Fscn1	683788	P85845	Fscn1	14086	Q61553	FSCN1	6624	Q16658	29.6	15
Q13228	Selenbp1	140927	Q8VIF7	NA	NA	NA	SELENBP1	8991	Q13228	34.8	11
P62760	Vsnl1	24877	Q56A29	Vsnl1	26950	P62761	VSNL1	7447	P62760	59.2	11
P48047	Atp5o	192241	Q06647	Atp5o	28080	Q9DB20	ATP5O	539	P48047	61	12
P00918	Car2	54231	P27139	Car2	12349	P00920	CA2	760	P00918	62.3	12
P78352	Dlg4	29495	P31016	Dlg4	13385	Q62108	DLG4	1742	P78352	25.4	11
P63151	Ppp2r2a	117104	P36876	Ppp2r2a	71978	Q6P1F6	PPP2R2A	5520	P63151	36.7	12
Q9UDY2	Tjp2	115769	Q3ZB99	Tjp2	21873	Q9Z0U1	TJP2	9414	Q9UDY2	21.4	12
Q02790	Fkbp4	260321	Q9QVC8	Fkbp4	14228	P30416	FKBP4	2288	Q02790	41	12
O00499	Bin1	117028	O08839	Bin1	30948	O08539	BIN1	274	O00499	27.5	16
P35222	Ctnnb1	84353	Q9WU82	Ctnnb1	12387	Q02248	CTNNB1	1499	P35222	27.8	11
P17252	Prkca	24680	P05696	Prkca	18750	P20444	PRKCA	5578	P17252	30.8	14
P13073	Cox4i1	29445	P10888	Cox4i1	12857	P19783	COX4I1	1327	P13073	56.2	11
P43304	Gpd2	25062	P35571	Gpd2	14571	Q64521	GPD2	2820	P43304	26.1	11
Q14155	Arhgef7	114559	O55043	Arhgef7	54126	Q9ES28	ARHGEF7	8874	Q14155	25.7	13
P14550	Akr1a1	78959	P51635	Akr1a1	58810	Q9JII6	AKR1A1	10327	P14550	39.4	11
P11177	Pdhb	289950	P49432	Pdhb	68263	Q9D051	PDHB	5162	P11177	41.5	12
P43034	Pafah1b1	83572	P63004	Pafah1b1	18472	P63005	PAFAH1B1	5048	P43034	39.5	12
O15240	Vgf	29461	P20156	Vgf	381677	Q0VGU4	VGF	7425	O15240	28.1	10
P37840	Snca	29219	P37377	Snca	20617	O55042	SNCA	6622	P37840	66.4	17
P61163	Actr1a	294010	P85515	Actr1a	54130	P61164	ACTR1A	10121	P61163	41.8	13
P10515	Dlat	81654	P08461	Dlat	235339	Q8BMF4	DLAT	1737	P10515	26.3	10
Q9H0B6	Klc2	309159	B2GV74	Klc2	16594	Q91YS4	KLC2	64837	Q9H0B6	29.3	12
P61604	Hspe1	25462	P97601	Hspe1	15528	Q64433	HSPE1	3336	P61604	80.4	13
Q8TAM6	Ermn	295619	Q5RJL0	Ermn	77767	Q5EBJ4	ERMN	57471	Q8TAM6	41.6	12
P08195	Slc3a2	50567	Q794F9	Slc3a2	17254	P10852	SLC3A2	6520	P08195	24.6	10
Q14764	Mvp	64681	Q62667	Mvp	78388	E9Q3X0	MVP	9961	Q14764	23.2	11
O75781	Palm	170673	Q920Q0	Palm	18483	Q9Z0P4	PALM	5064	O75781	48.6	14
O75145	Ppfia3	140591	NA	Ppfia3	76787	P60469	PPFIA3	8541	O75145	33.3	12
Q99832	Cct7	297406	D4AC23	Cct7	12468	P80313	CCT7	10574	Q99832	25.1	11
Q12931	Trap1	287069	Q5XHZ0	Trap1	68015	Q9CQN1	TRAP1	10131	Q12931	35.1	13
Q9NQ66	Plcb1	24654	P10687	Plcb1	18795	Q9Z1B3	PLCB1	23236	Q9NQ66	15.5	10
Q9UN36	Ndrg2	171114	Q8VBU2	Ndrg2	29811	Q9QYG0	NDRG2	57447	Q9UN36	36.9	15
O60331	Pip5k1c	314641	Q5I6B8	Pip5k1c	18717	O70161	PIP5K1C	23396	O60331	20.7	10
Q9UQB3	Ctnnd2	114028	F1M787	Ctnnd2	18163	O35927	CTNND2	1501	Q9UQB3	21.1	11
Q9UBB6	Ncdn	89791	O35095	Ncdn	26562	Q9Z0E0	NCDN	23154	Q9UBB6	18.8	11
Q15334	Llgl1	54265	G3V6I1	Llgl1	16897	Q80Y17	LLGL1	3996	Q15334	18.9	10
Q9UI15	Tagln3	63837	P37805	Tagln3	56370	Q9R1Q8	TAGLN3	29114	Q9UI15	58.8	11
Q8IXJ6	Sirt2	361532	Q5RJQ4	Sirt2	64383	Q8VDQ8	SIRT2	22933	Q8IXJ6	29.1	11
P07339	Ctsd	171293	Q6P6T6	Ctsd	13033	P18242	CTSD	1509	P07339	34.2	16
P80404	Abat	81632	P50554	Abat	268860	P61922	ABAT	18	P80404	40.6	11
P48147	Prep	83471	O70196	Prep	19072	Q9QUR6	PREP	5550	P48147	27.2	11
P31946	Ywhab	56011	P35213	Ywhab	54401	Q9CQV8	YWHAB	7529	P31946	63.4	21
P11940	Pabpc1	171350	Q9EPH8	Pabpc1	18458	P29341	PABPC1	26986	P11940	31	11
P0CG48	Ubc	50522	Q63429	Ubc	22190	P0CG50	UBC	7316	P0CG48	90.8	10
P61266	Stx1b	24923	P61265	Stx1b	56216	P61264	STX1B	112755	P61266	39.2	10
P23284	Ppib	64367	P24368	Ppib	19035	P24369	PPIB	5479	P23284	67.1	10
P17980	Psmc3	29677	Q63569	Psmc3	19182	O88685	PSMC3	5702	P17980	35.3	10
P49802	Rgs7	54296	P49803	Rgs7	24012	O54829	RGS7	6000	P49802	31.9	11
P16870	Cpe	25669	P15087	Cpe	12876	Q00493	CPE	1363	P16870	31.7	11
Q9NSD9	Farsb	301544	Q68FT7	Farsb	23874	Q9WUA2	FARSB	10056	Q9NSD9	18.5	10
Q9NR46	Sh3glb2	311848	Q5PPJ9	Sh3glb2	227700	Q8R3V5	SH3GLB2	56904	Q9NR46	38.5	9
P50993	Atp1a2	24212	P06686	NA	NA	NA	ATP1A2	477	P50993	37.9	32
P17987	Tcp1	24818	P28480	Tcp1	21454	P11983	TCP1	6950	P17987	23.7	12
Q9Y4E6	Wdr7	66031	Q9ERH3	Wdr7	104082	Q920I9	WDR7	23335	Q9Y4E6	11.7	10
Q9H115	Napb	499903	F8WFM2	Napb	17957	P28663	NAPB	63908	Q9H115	55.7	11
Q14515	Sparcl1	25434	P24054	Sparcl1	13602	P70663	SPARCL1	8404	Q14515	27.7	9
Q00325	Slc25a3	245959	Q6IRH6	Slc25a3	18674	Q8VEM8	SLC25A3	5250	Q00325	30.1	11
Q9NRW7	Vps45	64516	O08700	Vps45	22365	P97390	VPS45	11311	Q9NRW7	22.8	9
P05413	Fabp3	79131	P07483	Fabp3	14077	P11404	FABP3	2170	P05413	79	10
P61019	Rab2a	65158	P05712	Rab2a	59021	P53994	RAB2A	5862	P61019	61.8	10
Q15811	Itsn1	29491	Q9WVE9	Itsn1	16443	Q9Z0R4	ITSN1	6453	Q15811	15.9	11
Q9NVE7	Pank4	171053	Q923S8	Pank4	269614	Q80YV4	PANK4	55229	Q9NVE7	18.2	10
P11217	Pygm	24701	G3V8V3	Pygm	19309	Q9WUB3	PYGM	5837	P11217	38.5	17
Q12979	Abr	287537	NA	Abr	109934	Q5SSL4	ABR	29	Q12979	20.7	9
P22061	Pcmt1	25604	P22062	Pcmt1	18537	E0CYV0	PCMT1	5110	P22061	44.9	16
Q96FC7	Phyhipl	309901	Q6AYN4	Phyhipl	70911	Q8BGT8	PHYHIPL	84457	Q96FC7	31.9	12
Q99497	Park7	117287	O88767	Park7	57320	Q99LX0	PARK7	11315	Q99497	48.7	13
Q5T5C0	Stxbp5	81022	Q9WU70	Stxbp5	78808	Q8K400	STXBP5	134957	Q5T5C0	13.9	9
P00441	Sod1	24786	P07632	Sod1	20655	P08228	SOD1	6647	P00441	53.9	11
Q14240	Eif4a2	303831	Q5RKI1	Eif4a2	13682	P10630	EIF4A2	1974	Q14240	34.4	12
Q8IU85	Camk1d	307124	NA	Camk1d	227541	Q8BW96	CAMK1D	57118	Q8IU85	29.9	10
Q9UH03	Sept3	56003	Q9WU34	NA	NA	NA	SEPT3	55964	Q9UH03	34.4	13
P04792	Hspb1	24471	G3V913	Hspb1	15507	P14602	HSPB1	3315	P04792	57.1	12
Q6H8Q1	Ablim2	360958	Q6KC51	Ablim2	231148	Q8BL65	ABLIM2	84448	Q6H8Q1	36.5	10
P09110	Acaa1a	24157	P21775	Acaa1b	235674	Q8VCH0	ACAA1	30	P09110	37.5	10
Q00535	Cdk5	140908	Q03114	Cdk5	12568	P49615	CDK5	1020	Q00535	43.8	10
Q9NTK5	Ola1	296488	A0JPJ7	Ola1	67059	Q9CZ30	OLA1	29789	Q9NTK5	33.8	9
Q8N111	Cend1	361675	Q5FVI4	Cend1	57754	Q9JKC6	CEND1	51286	Q8N111	71.1	17
P05090	Apod	25239	P23593	Apod	11815	P51910	APOD	347	P05090	45	10
O95292	Vapb	60431	Q9Z269	Vapb	56491	Q8BH80	VAPB	9217	O95292	40.7	9
O00764	Pdxk	83578	O35331	Pdxk	216134	Q8K183	PDXK	8566	O00764	33.3	9
P47756	Capzb	298584	Q5XI32	Capzb	12345	P47757	CAPZB	832	P47756	47.7	10
Q9HDC9	Apmap	366227	Q7TP48	Apmap	71881	Q9D7N9	APMAP	57136	Q9HDC9	29.1	12
Q02338	Bdh1	117099	P29147	Bdh1	71911	Q80XN0	BDH1	622	Q02338	32.1	9
Q92614	Myo18a	360570	NA	Myo18a	360013	Q9JMH9	MYO18A	399687	Q92614	15.1	10
P16615	Atp2a2	29693	P11507	Atp2a2	11938	O55143	ATP2A2	488	P16615	17.1	9
Q7Z406	Myh14	308572	F1LNF0	Myh14	71960	Q6URW6	MYH14	79784	Q7Z406	15.8	13
P45985	Map2k4	287398	Q4KSH6	Map2k4	26398	P47809	MAP2K4	6416	P45985	48.6	9
Q9BRX8	Fam213a	361118	Q6AXX6	Fam213a	70564	Q9CYH2	FAM213A	84293	Q9BRX8	36.7	9
Q04917	Ywhah	25576	P68511	Ywhah	22629	P68510	YWHAH	7533	Q04917	52.9	14
Q9GZV7	Hapln2	64057	Q9ESM2	Hapln2	73940	Q9ESM3	HAPLN2	60484	Q9GZV7	34.7	9
Q07960	Arhgap1	311193	D4A6C5	Arhgap1	228359	Q5FWK3	ARHGAP1	392	Q07960	39	9
A0MZ66	RGD1311558	292139	A0MZ67	Shtn1	71653	Q8K2Q9	SHTN1	57698	A0MZ66	26.5	9
P27824	Canx	29144	P35565	Canx	12330	P35564	CANX	821	P27824	22	11
Q16851	Ugp2	289827	Q4V8I9	Ugp2	216558	Q91ZJ5	UGP2	7360	Q16851	31.9	9
Q12765	Scrn1	502776	Q6AY84	Scrn1	69938	Q9CZC8	SCRN1	9805	Q12765	38.2	12
P46379	Bag6	94342	Q6MG49	Bag6	224727	Q9Z1R2	BAG6	7917	P46379	15	9
O43837	Idh3B	94173	Q68FX0	Idh3b	170718	Q91VA7	IDH3B	3420	O43837	33.5	10
Q9BX66	Sorbs1	686098	NA	Sorbs1	20411	Q62417	SORBS1	10580	Q9BX66	18.3	9
P30048	Prdx3	64371	Q9Z0V6	Prdx3	11757	P20108	PRDX3	10935	P30048	46.1	16
Q9UDY4	Dnajb4	295549	Q5XIP0	Dnajb4	67035	Q9D832	DNAJB4	11080	Q9UDY4	37.4	9
P07737	Pfn1	64303	P62963	Pfn1	18643	P62962	PFN1	5216	P07737	67.1	10
Q9HCH3	Cpne5	309650	D3ZGN2	Cpne5	240058	Q8JZW4	CPNE5	57699	Q9HCH3	27.7	8
Q53HC0	Ccdc92	100036765	D3ZBX9	Ccdc92	215707	Q8VDN4	CCDC92	80212	Q53HC0	34.4	9
P50991	Cct4	29374	Q7TPB1	Cct4	12464	P80315	CCT4	10575	P50991	37.5	9
Q9UBC2	Eps15l1	361120	D3ZJR1	Eps15l1	13859	Q60902	EPS15L1	58513	Q9UBC2	22.3	10
Q9Y277	Vdac3	83532	Q9R1Z0	Vdac3	22335	Q60931	VDAC3	7419	Q9Y277	42.8	12
O00571	Ddx3y	364073	D3ZN21	Ddx3x	13205	Q62167	DDX3X	1654	O00571	23.1	9
P62333	Psmc6	289990	G3V6W6	Psmc6	67089	P62334	PSMC6	5706	P62333	40.4	8
Q16543	Cdc37	114562	Q63692	Cdc37	12539	Q61081	CDC37	11140	Q16543	28.8	8
Q01518	Cap1	64185	Q08163	Cap1	12331	P40124	CAP1	10487	Q01518	33.1	12
Q9NSE4	Iars2	364070	NA	Iars2	381314	Q8BIJ6	IARS2	55699	Q9NSE4	13.3	9
Q9BSJ8	Esyt1	29579	Q9Z1X1	Esyt1	23943	Q3U7R1	ESYT1	23344	Q9BSJ8	16.4	8
P28838	Lap3	289668	Q68FS4	Lap3	66988	Q9CPY7	LAP3	51056	P28838	30.6	9
Q13596	Snx1	84471	Q99N27	Snx1	56440	Q9WV80	SNX1	6642	Q13596	21.7	8
O60861	Gas7	85246	A0A0G2JT50	Gas7	14457	B1ATI9	GAS7	8522	O60861	26.9	9
P27797	Calr	64202	P18418	Calr	12317	P14211	CALR	811	P27797	45.6	8
Q9Y2I8	Wdr37	307075	D3ZQ02	Wdr37	207615	Q8CBE3	WDR37	22884	Q9Y2I8	27.9	9
P42704	Lrpprc	313867	Q5SGE0	Lrpprc	72416	Q6PB66	LRPPRC	10128	P42704	19	9
Q9UHD9	Ubqln2	317396	D4AA63	Ubqln2	54609	Q9QZM0	UBQLN2	29978	Q9UHD9	22.9	10
P30044	Prdx5	113898	Q9R063	Prdx5	54683	P99029	PRDX5	25824	P30044	46.7	11
Q9UNZ2	Nsfl1c	83809	O35987	Nsfl1c	386649	Q9CZ44	NSFL1C	55968	Q9UNZ2	42.2	11
Q00013	Mapp1	652956	NA	Mpp1	17524	P70290	MPP1	4354	Q00013	32.8	8
Q05639	Eef1a2	24799	P62632	Eef1a2	13628	P62631	EEF1A2	1917	Q05639	44.3	34
Q6NV74	RGD1310819	301351	NA	2010300C02Rik	72097	E9Q3M9	KIAA1211L	343990	Q6NV74	18.8	8
P61201	Cops2	261736	P61203	Cops2	12848	P61202	COPS2	9318	P61201	28.4	9
Q92597	Ndrg1	299923	Q6JE36	Ndrg1	17988	Q62433	NDRG1	10397	Q92597	38.1	14
P45880	Vdac2	83531	P81155	Vdac2	22334	Q60930	VDAC2	7417	P45880	37.1	11
P21291	Csrp1	29276	P47875	Csrp1	13007	P97315	CSRP1	1465	P21291	70.5	12
O95831	Aifm1	83533	Q9JM53	Aifm1	26926	Q9Z0X1	AIFM1	9131	O95831	18.9	8
P04179	Sod2	24787	P07895	Sod2	20656	P09671	SOD2	6648	P04179	42.8	8
Q66K74	Map1s	290640	P0C5W1	Map1s	270058	Q8C052	MAP1S	55201	Q66K74	18.1	8
P21397	Maoa	29253	G3V9Z3	Maoa	17161	Q64133	MAOA	4128	P21397	28.5	10
O60268	RGD1304884	307907	D4A3C2	6430548M08Rik	234797	Q8R0A7	KIAA0513	9764	O60268	24.6	10
O14964	Hgs	56084	Q9JJ50	Hgs	15239	Q99LI8	HGS	9146	O14964	13.8	9
P54578	Usp14	291796	Q5U2N2	Usp14	59025	Q9JMA1	USP14	9097	P54578	32.6	8
Q8NC96	Necap1	312694	P69682	Necap1	67602	Q9CR95	NECAP1	25977	Q8NC96	31.3	11
O14745	Slc9a3r1	59114	Q9JJ19	Slc9a3r1	26941	P70441	SLC9A3R1	9368	O14745	42.2	9
P00568	Ak1	24183	P39069	Ak1	11636	Q9R0Y5	AK1	203	P00568	45.4	9
Q9UHG3	Pcyox1	246302	Q99ML5	Pcyox1	66881	Q9CQF9	PCYOX1	51449	Q9UHG3	24.6	8
P26641	Eef1g	293725	Q68FR6	Eef1g	67160	Q9D8N0	EEF1G	1937	P26641	28.6	8
P10644	Prkar1a	25725	P09456	Prkar1a	19084	Q9DBC7	PRKAR1A	5573	P10644	36.5	8
Q96HN2	Ahcyl2	312192	D3ZWL6	Ahcyl2	74340	Q68FL4	AHCYL2	23382	Q96HN2	21.9	8
O14617	Ap3d1	314633	B5DFK6	Ap3d1	11776	O54774	AP3D1	8943	O14617	16.5	8
O94905	Erlin2	290823	B5DEH2	Erlin2	244373	Q8BFZ9	ERLIN2	11160	O94905	28.6	8
P30085	Cmpk1	298410	Q4KM73	Cmpk1	66588	Q9DBP5	CMPK1	51727	P30085	55.6	9
Q99963	Sh3gl3	81921	O35180	Sh3gl3	20408	Q62421	SH3GL3	6457	Q99963	40.1	8
P35998	Psmc2	25581	Q63347	Psmc2	19181	Q8BVQ9	PSMC2	5701	P35998	33	9
O75689	Adap1	171097	O88768	Adap1	231821	E9PY16	ADAP1	11033	O75689	37.4	9
O00139	Kif2a	84391	NA	Kif2a	16563	P28740	KIF2A	3796	O00139	23.2	8
O60716	Ctnnd1	311163	D3ZZZ9	Ctnnd1	12388	P30999	CTNND1	1500	O60716	21.4	8
Q99426	Tbcb	292777	Q1RP74	Tbcb	66411	Q9D1E6	TBCB	1155	Q99426	40.2	10
P61160	Actr2	289820	Q5M7U6	Actr2	66713	P61161	ACTR2	10097	P61160	27.9	8
P15531	Nme1	191575	Q05982	NA	NA	NA	NME1	4830	P15531	64.5	8
Q04760	Glo1	294320	Q6P7Q4	Glo1	109801	Q9CPU0	GLO1	2739	Q04760	52.7	9
P46108	Crk	54245	Q63768	Crk	12928	Q64010	CRK	1398	P46108	50	8
P69905	LOC287167	287167	Q63910	NA	NA	NA	HBA1	3039	P69905	71.1	14
Q8NBX0	LOC100910414	100910414	NA	Sccpdh	109232	Q8R127	SCCPDH	51097	Q8NBX0	22.4	7
Q14168	Mpp2	85275	D3ZAA9	Mpp2	50997	Q9WV34	MPP2	4355	Q14168	25.5	8
P49189	Aldh9a1	64040	Q9JLJ3	Aldh9a1	56752	Q9JLJ2	ALDH9A1	223	P49189	22.7	8
Q9Y3I0	Rtcb	362855	Q6AYT3	Rtcb	28088	Q99LF4	RTCB	51493	Q9Y3I0	32.7	7
O00231	Psmd11	303353	A0A0G2JWX1	Psmd11	69077	Q8BG32	PSMD11	5717	O00231	27	8
P11182	Dbt	29611	B2GV15	Dbt	13171	P53395	DBT	1629	P11182	NA	NA
Q9Y6G9	Dync1li1	252902	Q9QXU8	Dync1li1	235661	Q8R1Q8	DYNC1LI1	51143	Q9Y6G9	24.7	9
Q9H4M9	Ehd1	293692	Q641Z6	Ehd1	13660	Q9WVK4	EHD1	10938	Q9H4M9	50	21
P27348	Ywhaq	25577	P68255	Ywhaq	22630	P68254	YWHAQ	10971	P27348	48.6	14
Q14974	Kpnb1	24917	P52296	Kpnb1	16211	P70168	KPNB1	3837	Q14974	18.2	8
P36543	Atp6v1e1	297566	Q6PCU2	Atp6v1e1	11973	P50518	ATP6V1E1	529	P36543	50	7
Q7L0J3	Sv2a	117559	Q02563	Sv2a	64051	Q9JIS5	SV2A	9900	Q7L0J3	14.6	9
Q13404	Ube2v1	296390	NA	Ube2v1	66589	Q9CZY3	UBE2V1	7335	Q13404	60.5	7
P31689	Dnaja1	65028	P63036	Dnaja1	15502	P63037	DNAJA1	3301	P31689	34	8
P04843	Rpn1	25596	Q6P7A7	Rpn1	103963	Q91YQ5	RPN1	6184	P04843	23.7	8
O75436	Vps26a	361846	Q6AY86	Vps26a	30930	P40336	VPS26A	9559	O75436	36.4	8
O95970	Lgi1	252892	Q8K4Y5	Lgi1	56839	Q9JIA1	LGI1	9211	O95970	21.5	7
Q9Y639	Nptn	56064	P97546	Nptn	20320	P97300	NPTN	27020	Q9Y639	29.9	11
P50502	St13	81800	P50503	St13	70356	Q99L47	ST13	6767	P50502	29.5	7
P78406	Rae1	362281	Q3SWS8	Rae1	66679	Q8C570	RAE1	8480	P78406	34.8	7
P43004	Slc1a2	29482	P31596	Slc1a2	20511	P43006	SLC1A2	6506	P43004	22	10
P36915	Gnl1	309593	Q6MG06	Gnl1	14670	P36916	GNL1	2794	P36915	20.1	7
Q6PIU2	Nceh1	294930	B2GV54	Nceh1	320024	Q8BLF1	NCEH1	57552	Q6PIU2	24.3	7
Q13303	Kcnab2	29738	P62483	Kcnab2	16498	P62482	KCNAB2	8514	Q13303	33.5	8
Q9Y2Z0	Sugt1	290408	B0BN85	Sugt1	67955	Q9CX34	SUGT1	10910	Q9Y2Z0	32.9	7
Q9H3Q1	Cdc42ep4	303653	B1WC33	Cdc42ep4	56699	Q9JM96	CDC42EP4	23580	Q9H3Q1	22.8	7
Q13526	LOC364561	364561	NA	Pin1	23988	Q9QUR7	PIN1	5300	Q13526	64.4	11
P55327	Tpd52	294900	F1MAB9	Tpd52	21985	Q62393	TPD52	7163	P55327	32.6	7
P35080	Pfn2	81531	Q9EPC6	Pfn2	18645	Q9JJV2	PFN2	5217	P35080	36.4	9
Q7Z4W1	Dcxr	171408	Q920P0	Dcxr	67880	Q91X52	DCXR	51181	Q7Z4W1	26.6	7
P62826	Ran	84509	P62828	Ran	19384	P62827	RAN	5901	P62826	29.2	9
Q9Y266	Nudc	29648	Q63525	Nudc	18221	O35685	NUDC	10726	Q9Y266	39.9	8
Q08722	Cd47	29364	P97829	Cd47	16423	Q61735	CD47	961	Q08722	14.9	10
P51149	Rab7a	29448	P09527	Rab7	19349	P51150	RAB7A	7879	P51149	41.1	8
O43396	Txnl1	140922	Q920J4	Txnl1	53382	Q8CDN6	TXNL1	9352	O43396	33.6	8
O00410	Ipo5	306182	D4A781	Ipo5	70572	Q8BKC5	IPO5	3843	O00410	12.5	8
P25685	Dnajb1	361384	B0K030	Dnajb1	81489	Q9QYJ3	DNAJB1	3337	P25685	28.8	7
P61088	Ube2n	116725	Q9EQX9	Ube2n	93765	P61089	UBE2N	7334	P61088	48	7
P36507	Map2k2	58960	P36506	Map2k2	26396	Q63932	MAP2K2	5605	P36507	43.3	19
Q00577	Pura	307498	NA	Pura	19290	P42669	PURA	5813	Q00577	29.2	8
P63000	Rac1	363875	Q6RUV5	Rac1	19353	P63001	RAC1	5879	P63000	31.8	10
O75489	Ndufs3	295923	D3ZG43	Ndufs3	68349	Q9DCT2	NDUFS3	4722	O75489	46.6	8
P02689	Pmp2	688790	D3ZFG5	NA	NA	NA	PMP2	5375	P02689	71.2	8
P22694	Prkacb	293508	P68182	Prkacb	18749	P68181	PRKACB	5567	P22694	24.2	8
Q9ULV4	Coro1c	501841	G3V624	Coro1c	23790	Q9WUM4	CORO1C	23603	Q9ULV4	26	7
O14910	Lin7a	85327	Q9Z250	Lin7a	108030	Q8JZS0	LIN7A	8825	O14910	46.8	9
Q9NZR1	Tmod2	58814	P70566	Tmod2	50876	Q9JKK7	TMOD2	29767	Q9NZR1	37.9	7
P78417	Gsto1	114846	Q6AXR6	Gsto1	14873	O09131	GSTO1	9446	P78417	36.1	7
P46109	LOC100911248	100911248	NA	Crkl	12929	P47941	CRKL	1399	P46109	37.3	7
P10768	Esd	290401	B0BNE5	Esd	13885	Q9R0P3	ESD	2098	P10768	30.9	10
Q96F85	Cnrip1	364208	Q5M7A7	Cnrip1	380686	Q5M8N0	CNRIP1	25927	Q96F85	57.3	7
P68366	Tuba4a	316531	Q5XIF6	Tuba4a	22145	P68368	TUBA4A	7277	P68366	71.2	120
P54289	Cacna2d1	25399	Q9ERS3	Cacna2d1	12293	O08532	CACNA2D1	781	P54289	13	7
P21283	Atp6v1c1	299971	Q5FVI6	Atp6v1c1	66335	Q9Z1G3	ATP6V1C1	528	P21283	32.7	8
P12268	Impdh2	301005	Q6P9U9	Impdh2	23918	P24547	IMPDH2	3615	P12268	28.6	8
P05771	Prkcb	25023	P68403	Prkcb	18751	P68404	PRKCB	5579	P05771	23.1	10
Q14847	Lasp1	29278	Q99MZ8	Lasp1	16796	Q61792	LASP1	3927	Q14847	40.2	7
P12235	Slc25a4	85333	Q05962	Slc25a4	11739	P48962	SLC25A4	291	P12235	54.4	19
P07099	Ephx1	25315	P07687	Ephx1	13849	Q9D379	EPHX1	2052	P07099	24.4	7
P27361	Mapk3	50689	P21708	Mapk3	26417	Q63844	MAPK3	5595	P27361	45.4	13
Q02156	Prkce	29340	P09216	Prkce	18754	P16054	PRKCE	5581	Q02156	18.1	7
Q9NT62	Atg3	171415	Q6AZ50	Atg3	67841	Q9CPX6	ATG3	64422	Q9NT62	23.9	7
Q9Y6I3	Epn1	117277	O88339	Epn1	13854	Q80VP1	EPN1	29924	Q9Y6I3	23.4	7
Q9P0K1	Adam22	57033	NA	Adam22	11496	Q9R1V6	ADAM22	53616	Q9P0K1	15.5	7
P47985	Uqcrfs1	291103	P20788	Uqcrfs1	66694	Q9CR68	UQCRFS1	7386	P47985	38.7	8
Q9UKG1	Appl1	290537	NA	Appl1	72993	Q8K3H0	APPL1	26060	Q9UKG1	15.4	7
Q9Y6K8	Ak5	365985	M0R7U1	Ak5	229949	Q920P5	AK5	26289	Q9Y6K8	31.5	7
Q9UI09	Ndufa12	299739	F1LXA0	Ndufa12	66414	Q7TMF3	NDUFA12	55967	Q9UI09	55.2	8
Q14289	Ptk2b	50646	P70600	Ptk2b	19229	Q9QVP9	PTK2B	2185	Q14289	17.5	7
Q8N5S9	Camkk1	60341	P97756	Camkk1	55984	Q8VBY2	CAMKK1	84254	Q8N5S9	24.2	8
Q99733	Nap1l4	361684	Q5U2Z3	Nap1l4	17955	Q78ZA7	NAP1L4	4676	Q99733	24	6
O15294	Ogt	26295	P56558	Ogt	108155	Q8CGY8	OGT	8473	O15294	13.7	6
P11413	G6pd	24377	P05370	G6pdx	14381	Q00612	G6PD	2539	P11413	23.3	7
O00264	Pgrmc1	291948	P70580	Pgrmc1	53328	O55022	PGRMC1	10857	O00264	44.6	7
O43236	Sept4	287606	Q6XUZ6	Sept4	18952	P28661	SEPT4	5414	O43236	23.6	10
O15394	Ncam2	288280	Q6RKB3	Ncam2	17968	O35136	NCAM2	4685	O15394	15.3	7
Q92783	Stam	498798	B5DF55	Stam	20844	P70297	STAM	8027	Q92783	21.9	6
Q07866	Klc1	171041	P37285	Klc1	16593	E9Q7C9	KLC1	3831	Q07866	25.7	12
P35232	Phb	25344	P67779	Phb	18673	P67778	PHB	5245	P35232	32	6
O95573	Acsl3	114024	Q63151	Acsl3	74205	Q9CZW4	ACSL3	2181	O95573	18.8	7
O43776	Nars	291556	Q4KLM9	Nars	70223	Q8BP47	NARS	4677	O43776	19.7	6
P19021	Pam	25508	P14925	Pam	18484	P97467	PAM	5066	P19021	13	6
Q92561	LOC102551958	102551958	NA	Phyhip	105653	Q8K0S0	PHYHIP	9796	Q92561	35.2	14
Q99447	Pcyt2	89841	O88637	Pcyt2	68671	Q922E4	PCYT2	5833	Q99447	28.5	6
Q9BXW6	Osbpl1a	259221	Q8K4M9	Osbpl1a	64291	Q91XL9	OSBPL1A	114876	Q9BXW6	11.9	7
P25788	Psma3	29670	NA	Psma3	19167	O70435	PSMA3	5684	P25788	32.2	6
